ingredient,adverse_event,count,IC025
FREE PLANT STEROLS,BLOOD URINE PRESENT,174,2.82751431937473
Silicon,BLOOD URINE PRESENT,174,2.63978715881437
Boron,BLOOD URINE PRESENT,176,2.45590788811594
Vitamin B12,ONYCHOLYSIS,13,2.288143507036
FREE PLANT STEROLS,URINARY RETENTION,29,2.24255988167116
Silicon,URINARY RETENTION,30,2.12568601560177
FREE PLANT STEROLS,HAEMORRHAGE,68,2.0453911974953
Vitamin B12,ONYCHOMYCOSIS,14,1.99913793780535
Boron,URINARY RETENTION,30,1.9627628351953
FREE PLANT STEROLS,PROSTATOMEGALY,19,1.95122183479229
Silicon,HAEMORRHAGE,69,1.8762464348597
Silicon,PROSTATOMEGALY,20,1.8674225775339
FREE PLANT STEROLS,HAEMATOCHEZIA,59,1.86279709563844
FREE PLANT STEROLS,HAEMATOSPERMIA,10,1.81382339111932
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HEPATOCELLULAR INJURY,9,1.79761713735903
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HEPATOCELLULAR INJURY,9,1.79721084068208
WITH PYGEUM,DYSURIA,8,1.77536438852628
MIXED STEROLS,DYSURIA,8,1.77394842877071
Molybdenum,BLOOD URINE PRESENT,179,1.74285065206597
Silicon,HAEMATOSPERMIA,10,1.72427614007964
Boron,PROSTATOMEGALY,20,1.70673948083074
Silicon,HAEMATOCHEZIA,60,1.69411245494621
Boron,HAEMORRHAGE,69,1.68649703010922
Boron,HAEMATOSPERMIA,10,1.6296622173559
Beta-Sitosterol,DYSURIA,8,1.58073008791478
FREE PLANT STEROLS,HOSPITALISATION,23,1.56727522837209
Vitamin B12,NAIL INJURY,14,1.56338698365418
Boron,HAEMATOCHEZIA,63,1.56165741887679
FREE PLANT STEROLS,UROGENITAL HAEMORRHAGE,7,1.4551994682907
FREE PLANT STEROLS,PROSTATIC DISORDER,9,1.45007804720539
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HEPATIC FUNCTION ABNORMAL,10,1.42591112327631
Molybdenum,URINARY RETENTION,33,1.42128841132021
SUGARS,HEPATIC CIRRHOSIS,6,1.41482795959569
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HEPATIC FUNCTION ABNORMAL,10,1.41402753724859
Silicon,HOSPITALISATION,23,1.39682082497909
Silicon,UROGENITAL HAEMORRHAGE,7,1.38889146394701
Citicoline,DEATH,6,1.38333134460236
Boron,PROSTATIC DISORDER,10,1.37294080269599
Selenium,BLOOD URINE PRESENT,181,1.35363537759424
Silicon,PROSTATIC DISORDER,9,1.35152034556581
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,ASPARTATE AMINOTRANSFERASE INCREASED,10,1.33728625991447
Hyssop,DEHYDRATION,9,1.3340369255619
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,ASPARTATE AMINOTRANSFERASE INCREASED,10,1.32530184464284
Malic Acid,DEATH,6,1.32445993210296
Tyrosine,BLOOD CREATINE PHOSPHOKINASE INCREASED,12,1.31979896187558
(4-AMINOBUTYL)GUANIDINIUM SULPHATE,BLOOD CREATINE PHOSPHOKINASE INCREASED,6,1.31860116741125
