product,adverse_event,count,IC025
14-DAY ACAI BERRY CLEANSE,ABDOMINAL DISTENSION,4,0.649085206538261
14-DAY ACAI BERRY CLEANSE,DIARRHOEA,6,0.638356130332606
14-DAY ACAI BERRY CLEANSE,ABDOMINAL PAIN,5,0.620359419114494
14-DAY ACAI BERRY CLEANSE,CONSTIPATION,3,0.119096179749996
5 HOUR ENERGY,MYOCARDIAL INFARCTION,10,1.44399728458993
5 HOUR ENERGY,DEATH,6,1.1878132971435
5 HOUR ENERGY,CONVULSION,8,0.97044383421662
5 HOUR ENERGY,CEREBROVASCULAR ACCIDENT,4,0.011526300463055
5 HOUR ENERGY BERRY,CONVULSION,3,0.229950876452078
5 HOUR ENERGY DRINK,HYPOAESTHESIA,3,0.331673163224534
5-HOUR ENERGY,DEATH,6,1.33551791447767
5-HOUR ENERGY,MYOCARDIAL INFARCTION,6,0.99272904129682
5-HOUR ENERGY,CONVULSION,6,0.86484822868996
5-HOUR ENERGY,VITAMIN B12 INCREASED,3,0.464150784202641
5-HOUR ENERGY BERRY,LOSS OF CONSCIOUSNESS,4,0.412898185751729
5-HOUR ENERGY BERRY,CONVULSION,3,0.0867600532972166
5-HOUR ENERGY EXTRA STRENGTH BERRY,CONVULSION,3,0.158778841882758
5-HOUR ENERGY POMEGRANATE,CONVULSION,3,0.262693765963326
5-HTP,MUSCLE TWITCHING,3,0.495907973673486
5-HTP,CONFUSIONAL STATE,3,0.269287210993414
ACAI BERRY ALL NATURAL CLEANSING FORMULA,DYSPNOEA,3,0.244844185669226
ACIDOPHILUS,SWOLLEN TONGUE,3,0.197143577256234
ADVOCARE DIETARY SUPPLEMENTS,HEART RATE INCREASED,6,1.35001594998591
ADVOCARE DIETARY SUPPLEMENTS,BODY TEMPERATURE INCREASED,3,0.43763419654011
ADVOCARE DIETARY SUPPLEMENTS,HEADACHE,3,0.1467801200825
ADVOCARE DIETARY SUPPLEMENTS,DIZZINESS,3,0.0586862937276562
ADVOCARE OMEGAPLEX,HYPERHIDROSIS,3,0.129746084082716
AFA BLUE GREEN ALGAE,ASTHENIA,4,0.92168401923214
AGELESS MALE,BLOOD URINE PRESENT,4,0.651703871566636
AGELESS MALE,MYOCARDIAL INFARCTION,3,0.0256230596633505
AGELESS MALE,HAEMORRHAGE,3,0.0194928708305467
AIRBORNE,LIVER FUNCTION TEST ABNORMAL,3,0.121379924920551
ALIVE LIQUID VITAMIN,FLUSHING,3,0.496611975300485
ALL DAY ENERGY GREENS,GASTRIC DISORDER,19,2.19986284991887
ALL DAY ENERGY GREENS,GASTROINTESTINAL DISORDER,15,1.80528658762189
ALL DAY ENERGY GREENS,ABDOMINAL PAIN UPPER,40,1.51448864870218
ALL DAY ENERGY GREENS,DIVERTICULITIS,9,1.35094034523141
