product,adverse_event,count,PRR05
14-DAY ACAI BERRY CLEANSE,ABDOMINAL DISTENSION,4,1.96537228393865
14-DAY ACAI BERRY CLEANSE,ABDOMINAL PAIN,5,1.36664962512879
14-DAY ACAI BERRY CLEANSE,DIARRHOEA,6,1.18551831583134
14-DAY ACAI BERRY CLEANSE,CONSTIPATION,3,1.35352304010526
5 HOUR ENERGY,MYOCARDIAL INFARCTION,10,2.03432410347194
5 HOUR ENERGY,DEATH,6,2.31833497493432
5 HOUR ENERGY,CONVULSION,8,1.46176738516893
5 HOUR ENERGY BERRY,CONVULSION,3,1.72761641965711
5 HOUR ENERGY DRINK,HYPOAESTHESIA,3,2.17539822630442
5-HOUR ENERGY,DEATH,6,2.83651364985458
5-HOUR ENERGY,VITAMIN B12 INCREASED,3,3.33254333267275
5-HOUR ENERGY,MYOCARDIAL INFARCTION,6,1.85326954505476
5-HOUR ENERGY,CONVULSION,6,1.58147752726453
5-HOUR ENERGY BERRY,LOSS OF CONSCIOUSNESS,4,1.34143468302034
5-HOUR ENERGY BERRY,CONVULSION,3,1.25727098694049
5-HOUR ENERGY EXTRA STRENGTH BERRY,CONVULSION,3,1.488420930119
5-HOUR ENERGY POMEGRANATE,CONVULSION,3,1.89026502282566
5-HTP,MUSCLE TWITCHING,3,3.87246341842413
5-HTP,CONFUSIONAL STATE,3,1.85728709514073
ACAI BERRY ALL NATURAL CLEANSING FORMULA,DYSPNOEA,3,1.78274715684809
ACIDOPHILUS,SWOLLEN TONGUE,3,1.62571901272515
ADVOCARE DIETARY SUPPLEMENTS,HEART RATE INCREASED,6,2.91828453275055
ADVOCARE DIETARY SUPPLEMENTS,BODY TEMPERATURE INCREASED,3,2.9577067314459
ADVOCARE DIETARY SUPPLEMENTS,HEADACHE,3,1.46689026134151
ADVOCARE DIETARY SUPPLEMENTS,DIZZINESS,3,1.2086008253309
ADVOCARE OMEGAPLEX,HYPERHIDROSIS,3,1.37677050240709
AFA BLUE GREEN ALGAE,ASTHENIA,4,3.63318773848465
AGELESS MALE,BLOOD URINE PRESENT,4,1.99364376669392
AIRBORNE,LIVER FUNCTION TEST ABNORMAL,3,1.36691958180592
ALIVE LIQUID VITAMIN,FLUSHING,3,4.54808594850563
ALL DAY ENERGY GREENS,GASTRIC DISORDER,19,2.72356986715208
ALL DAY ENERGY GREENS,ABDOMINAL PAIN UPPER,40,1.61106885409254
ALL DAY ENERGY GREENS,GASTROINTESTINAL DISORDER,15,2.27397624301876
ALL DAY ENERGY GREENS,DIVERTICULITIS,9,1.98733646435903
ALL DAY ENERGY GREENS,FLATULENCE,13,1.53747206729297
ALL DAY ENERGY GREENS,GASTRIC ULCER HAEMORRHAGE,4,2.26890027941121
ALL DAY ENERGY GREENS,VOMITING,29,0.730173934975027
ALL DAY ENERGY GREENS,ABDOMINAL DISTENSION,11,1.02014606276641
ALL DAY ENERGY GREENS,GOUT,3,1.83317754112652
ALL DAY ENERGY GREENS,INFLUENZA,3,1.80226718109061
ALL DAY ENERGY GREENS,GASTROINTESTINAL HAEMORRHAGE,4,1.52967851168845
ALL DAY ENERGY GREENS,GASTROOESOPHAGEAL REFLUX DISEASE,6,1.03862749445223
ALL DAY ENERGY GREENS FRUITY,GASTROINTESTINAL DISORDER,14,2.59474573212911
ALL DAY ENERGY GREENS FRUITY,GASTRIC DISORDER,12,2.53744020890944
ALL DAY ENERGY GREENS FRUITY,FLATULENCE,12,1.8434562815486
ALL DAY ENERGY GREENS FRUITY,HOSPITALISATION,7,1.72389461111895
ALL DAY ENERGY GREENS FRUITY,DIVERTICULITIS,6,1.83343373501836
ALL DAY ENERGY GREENS FRUITY,DIARRHOEA,21,0.86581991052631
ALL DAY ENERGY GREENS FRUITY,COMPUTERISED TOMOGRAM ABNORMAL,5,1.69819963411812
ALL DAY ENERGY GREENS FRUITY,DIARRHOEA HAEMORRHAGIC,3,2.04252554998443
ALL DAY ENERGY GREENS FRUITY,ABDOMINAL DISTENSION,8,1.00507396518258
"ALL DAY ENERGY GREENS, FRUITY",BLOOD PRESSURE INCREASED,6,1.55421278143183
"ALL DAY ENERGY GREENS, FRUITY",DIARRHOEA,7,1.33963649770975
ALL DAY ENERGY GREENS.,GASTRIC DISORDER,4,2.49944416636836
ALL DAY ENERGY GREENS.,ABDOMINAL PAIN UPPER,8,1.51663981536654
ALL DAY ENERGY GREENS.,INTESTINAL OBSTRUCTION,3,2.44143810031865
ALL DAY ENERGY GREENS.,ABDOMINAL DISTENSION,4,1.517546128292
ALL DAY ENERGY GREENS.,BACK PAIN,3,1.30552881692175
ALL NATURAL GLYMETROL PROPRIETARY HERBAL FORMULA,HEPATIC ENZYME INCREASED,3,4.49205524031415
ALOE ORGANICS ORGANIC 100% PURE ALOE JUICE,HEART RATE INCREASED,3,2.64656876124511
AMP ENERGY DRINK,HEART RATE INCREASED,5,2.64404037501207
AMPLIFIED WHEYBOLIC EXTREME 60,HEPATIC ENZYME INCREASED,4,3.55416512462357
AZO,ALOPECIA,6,3.33390441796618
AZO CRANBERRY TABLETS,HYPERSENSITIVITY,3,1.50110885058128
B COMPLEX,BLISTER,3,1.24400886076198
B COMPLEX VITAMIN,PAIN,3,1.50832400021357
B-12,NEUROPATHY PERIPHERAL,3,2.48381194210778
B-50,ALOPECIA,3,1.7849107364908
B-COMPLEX,NEUROPATHY PERIPHERAL,3,1.90082394382436
B12,ALOPECIA,10,1.37718576253129
B12,GAIT DISTURBANCE,3,1.2474227515418
B6,HYPOAESTHESIA,3,1.8260770005806
BAYER ONE A DAY WEIGHT SMART,NAUSEA,3,2.93816151738866
"BAYER PRO ULTRA OMEGA-3 (OMEGA-3 FATTY ACIDS, VITAMIN D3)",CHOKING,4,1.89702543711616
BEANO ALPHA-D-GALACTOSIDASE,LARGE INTESTINE PERFORATION,3,6.00945234222439
BEANO ALPHA-D-GALACTOSIDASE,BACK PAIN,4,2.33695888031394
BEANO ALPHA-D-GALACTOSIDASE,FEELING ABNORMAL,3,1.80541140796927
