product,adverse_event,count,ROR05
14-DAY ACAI BERRY CLEANSE,ABDOMINAL DISTENSION,4,1.96268532429499
14-DAY ACAI BERRY CLEANSE,ABDOMINAL PAIN,5,1.36862443833004
14-DAY ACAI BERRY CLEANSE,DIARRHOEA,6,1.19396573364334
14-DAY ACAI BERRY CLEANSE,CONSTIPATION,3,1.33969887741715
5 HOUR ENERGY,MYOCARDIAL INFARCTION,10,2.05197261532817
5 HOUR ENERGY,DEATH,6,2.32378481940477
5 HOUR ENERGY,CONVULSION,8,1.4704368141481
5 HOUR ENERGY BERRY,CONVULSION,3,1.71075430623807
5 HOUR ENERGY DRINK,HYPOAESTHESIA,3,2.15645412119977
5-HOUR ENERGY,DEATH,6,2.84669141247116
5-HOUR ENERGY,VITAMIN B12 INCREASED,3,3.32930743657847
5-HOUR ENERGY,MYOCARDIAL INFARCTION,6,1.86069840134514
5-HOUR ENERGY,CONVULSION,6,1.58763379815534
5-HOUR ENERGY BERRY,LOSS OF CONSCIOUSNESS,4,1.33559067324065
5-HOUR ENERGY BERRY,CONVULSION,3,1.24478992397529
5-HOUR ENERGY EXTRA STRENGTH BERRY,CONVULSION,3,1.47404407518094
5-HOUR ENERGY POMEGRANATE,CONVULSION,3,1.87133548004735
5-HTP,MUSCLE TWITCHING,3,3.86622261307088
5-HTP,CONFUSIONAL STATE,3,1.84759033363975
ACAI BERRY ALL NATURAL CLEANSING FORMULA,DYSPNOEA,3,1.70388906604137
ACIDOPHILUS,SWOLLEN TONGUE,3,1.61856365500116
ADVOCARE DIETARY SUPPLEMENTS,HEART RATE INCREASED,6,2.98818744357662
ADVOCARE DIETARY SUPPLEMENTS,BODY TEMPERATURE INCREASED,3,2.93083917891075
ADVOCARE DIETARY SUPPLEMENTS,HEADACHE,3,1.42894200578606
ADVOCARE OMEGAPLEX,HYPERHIDROSIS,3,1.36552402270207
AFA BLUE GREEN ALGAE,ASTHENIA,4,3.59128179431471
AGELESS MALE,BLOOD URINE PRESENT,4,1.99230238629544
AIRBORNE,LIVER FUNCTION TEST ABNORMAL,3,1.35427050929875
ALIVE LIQUID VITAMIN,FLUSHING,3,4.4412176423319
ALL DAY ENERGY GREENS,GASTRIC DISORDER,19,2.7443458735629
ALL DAY ENERGY GREENS,ABDOMINAL PAIN UPPER,40,1.65823215544091
ALL DAY ENERGY GREENS,GASTROINTESTINAL DISORDER,15,2.28781441416621
ALL DAY ENERGY GREENS,DIVERTICULITIS,9,1.99267720098203
ALL DAY ENERGY GREENS,FLATULENCE,13,1.54660215133312
ALL DAY ENERGY GREENS,GASTRIC ULCER HAEMORRHAGE,4,2.26898493835296
ALL DAY ENERGY GREENS,VOMITING,29,0.748949447570231
ALL DAY ENERGY GREENS,ABDOMINAL DISTENSION,11,1.02501588873995
ALL DAY ENERGY GREENS,GOUT,3,1.83219876627791
ALL DAY ENERGY GREENS,INFLUENZA,3,1.8012734211406
ALL DAY ENERGY GREENS,GASTROINTESTINAL HAEMORRHAGE,4,1.52928237935711
ALL DAY ENERGY GREENS,GASTROOESOPHAGEAL REFLUX DISEASE,6,1.03919883009769
ALL DAY ENERGY GREENS,BLOOD POTASSIUM INCREASED,3,1.20948349836927
ALL DAY ENERGY GREENS FRUITY,GASTROINTESTINAL DISORDER,14,2.61423785222505
ALL DAY ENERGY GREENS FRUITY,GASTRIC DISORDER,12,2.55250343362377
ALL DAY ENERGY GREENS FRUITY,FLATULENCE,12,1.85664485297952
ALL DAY ENERGY GREENS FRUITY,HOSPITALISATION,7,1.72784149469188
ALL DAY ENERGY GREENS FRUITY,DIVERTICULITIS,6,1.83598308111772
ALL DAY ENERGY GREENS FRUITY,DIARRHOEA,21,0.886030343075054
ALL DAY ENERGY GREENS FRUITY,COMPUTERISED TOMOGRAM ABNORMAL,5,1.69906828519754
ALL DAY ENERGY GREENS FRUITY,DIARRHOEA HAEMORRHAGIC,3,2.04110568134423
ALL DAY ENERGY GREENS FRUITY,ABDOMINAL DISTENSION,8,1.0082432389125
ALL DAY ENERGY GREENS FRUITY,ERUCTATION,3,1.22464069808362
"ALL DAY ENERGY GREENS, FRUITY",BLOOD PRESSURE INCREASED,6,1.56748184357503
"ALL DAY ENERGY GREENS, FRUITY",DIARRHOEA,7,1.35966583386785
ALL DAY ENERGY GREENS.,GASTRIC DISORDER,4,2.49914465282849
ALL DAY ENERGY GREENS.,ABDOMINAL PAIN UPPER,8,1.53943438836517
ALL DAY ENERGY GREENS.,INTESTINAL OBSTRUCTION,3,2.43511665624746
ALL DAY ENERGY GREENS.,ABDOMINAL DISTENSION,4,1.51418161289891
ALL DAY ENERGY GREENS.,BACK PAIN,3,1.29653488471818
ALL NATURAL GLYMETROL PROPRIETARY HERBAL FORMULA,HEPATIC ENZYME INCREASED,3,4.17885502122462
ALOE ORGANICS ORGANIC 100% PURE ALOE JUICE,HEART RATE INCREASED,3,2.58100362124526
AMP ENERGY DRINK,HEART RATE INCREASED,5,2.67391742285606
AMPLIFIED WHEYBOLIC EXTREME 60,HEPATIC ENZYME INCREASED,4,3.55559216364298
AZO,ALOPECIA,6,3.46445111498848
AZO CRANBERRY TABLETS,HYPERSENSITIVITY,3,1.46363109272989
B COMPLEX,BLISTER,3,1.24149430748775
B COMPLEX VITAMIN,PAIN,3,1.47094341770237
B-12,NEUROPATHY PERIPHERAL,3,2.47897340038496
B-50,ALOPECIA,3,1.74590305084491
B-COMPLEX,NEUROPATHY PERIPHERAL,3,1.89773053158154
B12,ALOPECIA,10,1.39812270519672
B12,GAIT DISTURBANCE,3,1.24196216500815
B6,HYPOAESTHESIA,3,1.81148937262367
BAYER ONE A DAY WEIGHT SMART,NAUSEA,3,2.6048205037829
"BAYER PRO ULTRA OMEGA-3 (OMEGA-3 FATTY ACIDS, VITAMIN D3)",CHOKING,4,1.87347279071766
BEANO ALPHA-D-GALACTOSIDASE,LARGE INTESTINE PERFORATION,3,6.00992618704609
BEANO ALPHA-D-GALACTOSIDASE,BACK PAIN,4,2.33555330906796
BEANO ALPHA-D-GALACTOSIDASE,FEELING ABNORMAL,3,1.79183745265454
BEANO ALPHA-D-GALACTOSIDASE,LIVER FUNCTION TEST ABNORMAL,3,1.57400132990866
BEANO LIQUID DROPS,HOSPITALISATION,3,3.97580828393674
BEANO TABLET (ALPHA-D-GALACTOSIDASE),PHYSICAL EXAMINATION,4,3.61110303756735
BEANO TABLETS (ALPHA-D-GALACTOSIDASE),BLOOD GLUCOSE DECREASED,3,3.26043890924317
BEAST STACK,HEPATIC ENZYME INCREASED,3,3.95944253028818
BEAUTY SLIM (PRETTY SLIM),HYPERVIGILANCE,5,8.19727186229429
BEAUTY SLIM (PRETTY SLIM),DRY MOUTH,5,4.71609753481788
BEAUTY SLIM (PRETTY SLIM),FEELING ABNORMAL,5,3.31246679730437
BEAUTY SLIM (PRETTY SLIM),WEIGHT DECREASED,5,3.16111472995824
BENEFIBER (NCH),DIVERTICULITIS,3,2.84339238151988
BENEFIBER POWDER STICK PACKS (WHEAT DEXTRIN) UNKNOWN,PSEUDOMONAS INFECTION,3,7.18445876344739
BENEFIBER STICK PACKS (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,3,1.69281930524406
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,INFLUENZA,3,3.94975177165884
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,PYREXIA,3,1.95904239320689
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,FALL,3,1.67037689141913
BENEFIBER UNKNOWN (NCH),DEATH,5,3.75109516332956
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,THERAPEUTIC RESPONSE UNEXPECTED,3,4.26701233721951
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,CONSTIPATION,4,1.5297130328959
BENEFIBER UNKNOWN (NCH) (UNKNOWN) UNKNOWN,DEATH,3,2.90658923557551
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,UNDERDOSE,4,3.3914739966864
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,OVERDOSE,7,2.41821188643033
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BARRETT'S OESOPHAGUS,3,3.08994793443912
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BOWEL MOVEMENT IRREGULARITY,4,2.56605948965551
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,HAEMORRHOIDS,5,2.18999933058321
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FLATULENCE,10,1.38191463800569
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,HIATUS HERNIA,3,1.76402871792995
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONSTIPATION,10,0.913462118800252
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONDITION AGGRAVATED,5,1.26508506830877
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FREQUENT BOWEL MOVEMENTS,3,1.5158551255969
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DRUG DEPENDENCE,4,1.304456522547
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,4,1.01264598931506
BENEFIBER WITH WHEAT DEXTRIN,FALL,3,1.55393096756667
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,UNDERDOSE,7,4.38160232346212
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,THERAPEUTIC RESPONSE UNEXPECTED,6,3.53414156562746
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,10,2.40341411092373
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,OVERDOSE,7,2.50142334713795
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,GOUT,4,2.5485659579231
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIABETES MELLITUS,5,1.39384408215442
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,SINUSITIS,3,1.73104296113885
